Index,id,propertyId,source,status,nightPriceÙ€native,nightPrice,weeklyPrice,monthlyPrice,cleaningFeeNative,numOfBaths,numOfRooms,occupancy,nightsBooked,rentalIncome,airbnbNeighborhoodId,name,address,airbnbNeighborhood,airbnbCity,state,capacityOfPeople,zip,propertyType,roomType,roomTypeCategory,amenities,reviewsCount,startRating,reviews,createdAt,updatedAt,numOfBeds,lat,lon,image,url,rental_income,neighborhood,nightRate,property_id,airbnbZIP
0,28612684,11695191,Airbnb,ACTIVE,125,124,0,0,60,1,0,89,326,3369,7877,Beautiful private studio by LAX and the ocean,"Los Angeles, CA, United States",Westchester/Playa Del Rey,Los Angeles,CA,2,90045,Apartment,Entire home/apt,entire_home,,87,5,,2021-01-30T09:27:23.000Z,2021-01-30T09:27:23.000Z,2,33.95980072,-118.4058075,https://a0.muscache.com/im/pictures/06e8fa01-910f-4065-b924-e71b3b3c280d.jpg?aki_policy=medium,,3310.8,"{'id': 7877, 'name': 'Westchester/Playa Del Rey'}",124,11695191,90045
1,28612665,15915760,Airbnb,ACTIVE,259,268,0,0,119,3,3,92,337,7526,7877,"Beautiful & Private Home with Big Backyard, BBQ & Parking.","Los Angeles, CA, United States",Westchester/Playa Del Rey,Los Angeles,CA,8,90045,House,Entire home/apt,entire_home,,37,5,,2021-01-30T09:27:16.000Z,2021-01-30T09:27:16.000Z,4,33.9642601,-118.3985901,https://a0.muscache.com/im/pictures/1b7b248a-8a2a-466c-8587-4fad0d9df10b.jpg?aki_policy=medium,,7396.8,"{'id': 7877, 'name': 'Westchester/Playa Del Rey'}",268,15915760,90045
2,28612651,1650397,Airbnb,ACTIVE,115,115,750,2900,40,0.5,1,68,248,2377,7877,LAXclose-modern&green guest Suite,"Los Angeles, CA, United States",Westchester/Playa Del Rey,Los Angeles,CA,6,90045,Guest suite,Entire home/apt,entire_home,,437,5,,2021-01-30T09:27:12.000Z,2021-01-30T09:27:12.000Z,4,33.96018982,-118.3927612,https://a0.muscache.com/im/pictures/27330186/9cca6478_original.jpg?aki_policy=medium,,2346,"{'id': 7877, 'name': 'Westchester/Playa Del Rey'}",115,1650397,90045
3,28612691,16824550,Airbnb,ACTIVE,98,93,0,0,15,1,0,99,364,2821,7877,Studio in Westchester. Near LAX.,"Los Angeles, CA, United States",Westchester/Playa Del Rey,Los Angeles,CA,3,90045,Apartment,Entire home/apt,entire_home,,302,5,,2021-01-30T09:27:25.000Z,2021-01-30T09:27:25.000Z,2,33.96065903,-118.3884201,https://a0.muscache.com/im/pictures/aaa24031-cf7c-493b-879e-4d5d486ef74a.jpg?aki_policy=medium,,2762.1,"{'id': 7877, 'name': 'Westchester/Playa Del Rey'}",93,16824550,90045
4,28612677,17097814,Airbnb,ACTIVE,98,90,0,0,75,1,1,97,355,2663,7877,Private/Quiet Westside Residential House,"Los Angeles, CA, United States",Westchester/Playa Del Rey,Los Angeles,CA,4,90045,House,Entire home/apt,entire_home,,139,5,,2021-01-30T09:27:20.000Z,2021-01-30T09:27:20.000Z,2,33.96234131,-118.3860016,https://a0.muscache.com/im/pictures/1b15f579-ad85-4a41-bb1f-bb97120a145f.jpg?aki_policy=medium,,2619,"{'id': 7877, 'name': 'Westchester/Playa Del Rey'}",90,17097814,90045
5,28612756,23634806,Airbnb,ACTIVE,400,312,0,0,285,2,3,61,130,5794,7877,"Cozy, Spanish Style LA Home in Quiet Neighborhood","Los Angeles, CA, United States",Westchester/Playa Del Rey,Los Angeles,CA,6,90045,House,Entire home/apt,entire_home,,4,5,,2021-01-30T09:27:46.000Z,2021-01-30T09:27:46.000Z,4,33.96408844,-118.4166031,https://a0.muscache.com/im/pictures/efb90d88-e201-4573-97be-be561bb446d8.jpg?aki_policy=medium,,5709.6,"{'id': 7877, 'name': 'Westchester/Playa Del Rey'}",312,23634806,90045
6,28612658,26043886,Airbnb,ACTIVE,119,122,0,0,55,1,1,8,29,295,7877,Luxury LAX/ BEACH guest house,"Los Angeles, CA, United States",Westchester/Playa Del Rey,Los Angeles,CA,3,90045,House,Entire home/apt,entire_home,,50,5,,2021-01-30T09:27:14.000Z,2021-01-30T09:27:14.000Z,2,33.95827103,-118.389267,https://a0.muscache.com/im/pictures/8f3d48f0-d85e-4987-ba42-59fd95486203.jpg?aki_policy=medium,,292.8,"{'id': 7877, 'name': 'Westchester/Playa Del Rey'}",122,26043886,90045
7,28612705,35118207,Airbnb,ACTIVE,295,184,0,0,195,2,4,92,336,5152,7877,NEWLY Remodeled Charming House Near LAX,"Los Angeles, CA, United States",Westchester/Playa Del Rey,Los Angeles,CA,10,90045,House,Entire home/apt,entire_home,,21,5,,2021-01-30T09:27:29.000Z,2021-01-30T09:27:29.000Z,7,33.95690155,-118.3885574,https://a0.muscache.com/im/pictures/9cda24d9-1dbf-4d06-a502-a0b3a28b2de2.jpg?aki_policy=medium,,5078.4,"{'id': 7877, 'name': 'Westchester/Playa Del Rey'}",184,35118207,90045
8,28612715,35319121,Airbnb,ACTIVE,90,98,0,0,15,1,0,80,291,2377,7877,LAX House,"Los Angeles, CA, United States",Westchester/Playa Del Rey,Los Angeles,CA,1,90045,Guest suite,Entire home/apt,entire_home,,65,5,,2021-01-30T09:27:32.000Z,2021-01-30T09:27:32.000Z,1,33.95732117,-118.3939896,https://a0.muscache.com/im/pictures/4a61358f-1b48-4c1f-bec9-c19a8a74d1ce.jpg?aki_policy=medium,,2352,"{'id': 7877, 'name': 'Westchester/Playa Del Rey'}",98,35319121,90045
9,28612720,36173413,Airbnb,ACTIVE,179,175,0,0,96,1,3,87,319,4652,7877,Bright & Clean 3 Bed Home near Venice & Beaches,"Los Angeles, CA, United States",Westchester/Playa Del Rey,Los Angeles,CA,7,90045,House,Entire home/apt,entire_home,,26,5,,2021-01-30T09:27:35.000Z,2021-01-30T09:27:35.000Z,3,33.96141052,-118.4115524,https://a0.muscache.com/im/pictures/b6564ec3-5440-44af-9f94-4c505cd18b69.jpg?aki_policy=medium,,4567.5,"{'id': 7877, 'name': 'Westchester/Playa Del Rey'}",175,36173413,90045
10,28612728,38131853,Airbnb,ACTIVE,99,89,0,0,60,1,1,63,229,1698,7877,"Cozy Private 1 BR Guest Suite Near LAX,LMU,beach","Los Angeles, CA, United States",Westchester/Playa Del Rey,Los Angeles,CA,3,90045,Guest suite,Entire home/apt,entire_home,,36,5,,2021-01-30T09:27:37.000Z,2021-01-30T09:27:37.000Z,2,33.9576416,-118.4208069,https://a0.muscache.com/im/pictures/12463e5d-df3f-48bd-874a-791519727e8a.jpg?aki_policy=medium,,1682.1,"{'id': 7877, 'name': 'Westchester/Playa Del Rey'}",89,38131853,90045
11,28612734,39587365,Airbnb,ACTIVE,135,134,0,0,100,1,2,62,227,2535,7877,2 bedrooms/4 beds/1 bath/full kitchen close to LAX,"Los Angeles, CA, United States",Westchester/Playa Del Rey,Los Angeles,CA,5,90045,House,Entire home/apt,entire_home,,20,5,,2021-01-30T09:27:39.000Z,2021-01-30T09:27:39.000Z,3,33.96152115,-118.3904724,https://a0.muscache.com/im/pictures/miso/Hosting-39587365/original/589cd522-767d-41cf-b951-3af8eeac36d2.jpeg?aki_policy=medium,,2492.4,"{'id': 7877, 'name': 'Westchester/Playa Del Rey'}",134,39587365,90045
12,28612741,42716081,Airbnb,ACTIVE,344,319,0,0,300,3,6,77,260,7540,7877,Casa Del Mar - Large 6 Bedroom House. sleep 13,"Los Angeles, CA, United States",Westchester/Playa Del Rey,Los Angeles,CA,13,90045,House,Entire home/apt,entire_home,,25,5,,2021-01-30T09:27:41.000Z,2021-01-30T09:27:41.000Z,9,33.96390152,-118.4162521,https://a0.muscache.com/im/pictures/2040ee5a-13cd-4913-84a3-22bfbbe7a31f.jpg?aki_policy=medium,,7368.9,"{'id': 7877, 'name': 'Westchester/Playa Del Rey'}",319,42716081,90045
13,28612670,4284302,Airbnb,ACTIVE,195,198,0,0,125,1,3,98,328,5904,7877,Colorful Boutique Home Close to the Beach,"Los Angeles, CA, United States",Westchester/Playa Del Rey,Los Angeles,CA,6,90045,House,Entire home/apt,entire_home,,168,5,,2021-01-30T09:27:18.000Z,2021-01-30T09:27:18.000Z,4,33.96229172,-118.4150925,https://a0.muscache.com/im/pictures/5422e48f-b1a3-45de-aee8-8fa859ebee2c.jpg?aki_policy=medium,,5821.2,"{'id': 7877, 'name': 'Westchester/Playa Del Rey'}",198,4284302,90045
14,28612749,43094515,Airbnb,ACTIVE,275,269,0,0,160,2.5,3,52,158,4250,7877,Modern Spacious Romantic LA Home Gated Yard HotTub,"Los Angeles, CA, United States",Westchester/Playa Del Rey,Los Angeles,CA,6,90045,House,Entire home/apt,entire_home,,16,5,,2021-01-30T09:27:43.000Z,2021-01-30T09:27:43.000Z,3,33.95851898,-118.4004211,https://a0.muscache.com/im/pictures/21f127e9-4545-4b1b-890f-0c9566655488.jpg?aki_policy=medium,,4196.4,"{'id': 7877, 'name': 'Westchester/Playa Del Rey'}",269,43094515,90045
