id,propertyId,source,neighborhood_id,description,Title,nightPrice,numOfBaths,numOfBeds,Price,address,neighborhood,city,zip,propertyType,lat,lon,capacityOfPeople,numOfRooms,reviewsCount,startRating,occupancy,nightsBooked,clean_mthly_price
2907266,,Regular,7877,"Well appointed spacious 4 bedroom/2 bathroom home in the highly sort after Westchester. This home offers plenty of natural light with a
flowing floor plan. Spacious kitchen with stainless steel appliances, inside large laundry room with plenty of cabinets for storage, plus a
large bonus room that can be used as an entertainment room or office. Inside the gate, a long driveway that leads to a detached 2-car
garage. A secluded yard in the back and side for entertainment, is but a slight taste of what this home has to offer....the rest of this beauty
is for your discovery. Within close proximity to LAX, LMU, shopping and entertainment. This is a MUST SEE!!","Single Family Residence - Westchester, CA",,2,4,5000,8845 Glider Avenue,Westchester,Los Angeles,90045,single_home,33.95656967,-118.3866806,,,,,,,
5289567,,Regular,7877,"1 bedroom / 1 bath unit located in friendly 8 unit complex on a quiet street in Westchester. This apartment has plenty closet space in each room and plenty of cabinet space all around. The living room has vaulted ceilings and a skylight window. Second floor unit with lots of light. It also features a working gas fireplace. Appliances include refrigerator, dishwasher, and range. Coin operated washing machines are available on site. Unit includes 1 parking space in an enclosed garage with a storage cabinet as well. Plenty of street parking for guests. All windows and doors are double pane so it's nice and quiet. Great location - near LMU and the Westchester golf course. Close by- Playa del Rey, Marina del Rey, El Segundo, Manhattan Beach, Venice, Culver City. No pets and no smokers.",6701 W 86th Place,,1,1,1475,"Los Angeles, CA 90045",Westchester,Los Angeles,90045,apartment,33.95949936,-118.4069977,,,,,,,
5289569,,Regular,7877,"Available now Front unit with patio New kitchen granite counter top, sink, fixtures and flooring Gas stove Refrigerator Wash/dryer Upgraded bathroom New carpet and blinds Hardwood Floors Front unit with front patio One half of a 2 car garage and one car parking behind garage space No Pets Please Non-Smoking Water and trash paid by owner",6504 W 86th Place,,1,2,1950,"Los Angeles, CA 90045",Westchester,Los Angeles,90045,single_home,33.95909882,-118.4020004,,,,,,,
5289570,,Regular,7877,"Amenities: Hardwood Floors refrigerator stove washer and dryer hookups washer and dryer in unit Located in highly sought after Silicon-Beach adjacent Westchester, bright and sunny with lots of windows, newer airport-installed double-paned windows, updated bathroom. Two miles from the beach! Close to LMU , walking distance to Ralph's , Trader Joe's , Westchester Golf Course, LAX, and Playa Vista. No smoking. Zoned for Excellent Kentwood Elementary School and very close to Visitation Catholic School. Owner lives in back unit. One Year Lease $2175 per month $2175 Deposit. Tenant pay gas, electric, and trash. Please contact owner through email.",6513 W 86th Place,,1,2,2175,"Los Angeles, CA 90045",Westchester,Los Angeles,90045,single_home,33.95949936,-118.4020004,,,,,,,
5289571,,Regular,7877,"Mid-Century Modern Stunner! Front unit in 3-unit building. 1-car Parking included. 2 bedroom, 1 baths. Updated kitchen and baths. Huge living room with Wood Burning Fireplace and a glass wall with sliding door leading to fantastic enclosed brick patio. This is California indoor-outdoor living at its best. Patio has retractable sun awning and a lovely garden. Second bedroom has another smaller patio. All appliances included with this unit. Gas forced-air heat. One car garage, plus additional workshop in the back. Weekly gardener included. Do not disturb current tenants please. Tenant pays *all utilities including trash* landlord only pays for water. *Non smoking.* *No pets.* Security required. Tenant must fill out an application in person and provide an electronic or hard copy of their own credit report. Close to LAX (not noisy), 405, Trader Joes, Silicon Beach, Bed Bath, Bristol Farms, You Tube Space LA, Facebook, Google, Yahoo, LMU, Otis, YMCA, hiking trails. Availabl ... (show more) e now.",6338 W 79th Street,,1,2,2650,"Los Angeles, CA 90045",Westchester,Los Angeles,90045,apartment,33.96910095,-118.3980026,,,,,,,
5289572,,Regular,7877,"Cozy 3 bedroom, 1.5 bathroom home in Prime Upper North Kentwood with open backyard and double garage. The house is available immediately for a short term lease, through the end of January. This is perfect for families between homes or who needs temporary housing. House includes washer and dryer and can include refrigerator at no extra cost. Property available immediately and is available through the end of January. Perfect for someone who is between houses or needs to vacate their home for a renovation.",7601 El Manor Avenue,,2,3,3000,"Los Angeles, CA 90045",Westchester,Los Angeles,90045,single_home,33.97380066,-118.4000015,,,,,,,
5289573,,Regular,7877,"Quiet & Safe, 3+1, Hardwood throughout, Fireplace, Patio, Yard, Huge Kitchen. EXCELLENT CONDITION, in WESTCHESTER. Close to virtually EVERYTHING. SHOPPING, DINNING, BEACHES, LMU, LAX, FREEWAYS, the HARBOR, PLAYA VISTA. Hardwood floors throughout. FIREPLACE in living room. A HUGE KITCHEN with a GAS RANGE. Covered PATIO. Lot's of WINDOWS and LIGHT. FLAGSTONE dining area. It's QUIET (DOUBLE PANE WINDOWS) and SAFE. Residential neighborhood. WASHER/DRYER in the garage. It has a FENCED YARD, FRUIT TREES and plenty of off street parking. All utilities are paid, except power and cable. THIS WILL RENT FAST! Will consider pets with a small increase in rent and security deposit. Ray or Janis @ 310-306-9005 ray.valentine,mgpm@gmail.com",6537 W 87th Street,,1,3,3195,"Los Angeles, CA 90045",Westchester,Los Angeles,90045,single_home,33.95880127,-118.4029999,,,,,,,
5289574,,Regular,7877,"Newly renovated, 3 bdrm 1 bath house, stainless appliances, extra large private fenced yard Front unit 3-car Driveway parking. Newly renovated, spacious and bright 3 bdrm 1 bath house in very desirable Kentwood in Westchester. Located on a large corner lot, with lots of natural light throughout the home. Gorgeous refinished hardwood floors, new carpet in the bedrooms, new tile in the kitchen and bathroom. Stainless steel appliances in the kitchen. New exterior and interior paint throughout. Washerdryer hookup inside. Private, fenced back yard with a storage shed and patio. 3 car driveway parking plus plenty of street parking available. Guest house rear of large lot with private entrance, completely separated by a fence is owner occupied. Gas register heating. Non-smoking property.",6570 W 84th Place,,1,3,3495,"Los Angeles, CA 90045",Westchester,Los Angeles,90045,single_home,33.96170044,-118.4039993,,,,,,,
5289575,,Regular,7877,"Remodeled 2 Bed OfficeDen 2 Bath House WD Patio Yard Freestanding unit 2-car Driveway parking. Spacious, bright 2 bdrm officeden 2 bath Westchester house. Newly remodeled bathroom, kitchen, and front porch. Stainless-steel appliances. Large corner lot with spacious back patio with an avocado tree.",8621 Yorktown Avenue,,2,2,3500,"Los Angeles, CA 90045",Westchester,Los Angeles,90045,single_home,33.95909882,-118.3899994,,,,,,,
5289576,,Regular,7877,"Beautiful Kentwood 3 bedroom 1 bath house on tree lined street. Hardwood floors. Refrigerator, stove and microwave. Quartz countertops in eat-in kitchen. Bedroom has sliding glass door to backyard deck, multi -level backyard, perfect for entertaining. Mature fruit trees in backyard. Close to freeways, schools, LAX and shopping. Washer/dryer hookups inside. 2 car detached garage. Will consider pet.",7520 Alverstone Avenue,,1,3,3500,"Los Angeles, CA 90045",Westchester,Los Angeles,90045,single_home,33.97309875,-118.3970032,,,,,,,
5289577,,Regular,7877,"Beautiful recently renovated 3 bed 2 bath home located in prime Westchester location. This home has been upgraded with the best! Updated kitchen with new stainless steal appliances, new hardwood floors, new paint, new fixtures and tile in baths. Master bedroom is spacious with its own bath and french doors leading out to the huge back yard. Two car detached garage. Washer/Dryer.",6447 W 83rd Street,,2,3,3695,"Los Angeles, CA 90045",Westchester,Los Angeles,90045,single_home,33.96409988,-118.401001,,,,,,,
5289578,,Regular,7877,"Sparkling, fresh, and newly remodeled Kentwood home on a LMU adjacent street. This light and airy 3 bedroom, 1 bath with a large lot has all the right amenities and space to just move in and enjoy. The interior features include a living room with a big sunny bay window, fireplace with mantle and a dining area that opens to the tastefully designed granite kitchen. There is a full service laundry room with storage. The bedrooms are well laid out and have mirrored closets. Throughout the home are new windows, new electrical service, laminate floors, interior and exterior paint, original details, plus much more. The private backyard is the perfect California oasis with mature citrus and fruit trees.",8323 Stewart Avenue,,1,3,3700,"Los Angeles, CA 90045",Westchester,Los Angeles,90045,single_home,33.96260071,-118.4079971,,,,,,,
5289579,,Regular,7877,"Available 7/23 - Asking $3,775/month Move into this freshly remodeled property located in one of the most prestigious neighborhoods in the heart of Silicon Beach. No more struggling to find parking! New high end appliances throughout - 36"" refrigerator, stove, dishwasher, and high capacity washer & dryer. -Located in the heart of Silicon Beach -New Stainless Steel Kitchen Appliances - Dishwasher, Refrigerator, and Stove -New High Capacity Washer & Dryer -Freshly painted throughout -Recessed lighting in all rooms -Oak hardwood floors throughout -Includes Gardener Washer - LG - WT4970CW ($720) Dryer - LG - DLG1102W ($630) Dishwasher - LG - LDF777WST ($810) Refrigerator - Samsung - RS25J500DST ($1,000) -Available 7/23 - 12month min. lease -Cats ok (1), sorry - No Dogs -This is the front/downstairs unit of a duplex. Owner occupies the back unit. -Good credit is a must Please contact by phone or email. I am a licensed broker in the state of California. Michael Perkins Lic ... (show more) ense #01923742 (CA)",6501 W 83rd Street,,2,3,3775,"Los Angeles, CA 90045",Westchester,Los Angeles,90045,apartment,33.96409988,-118.4020004,,,,,,,
5289580,,Regular,7877,"Beautifully maintained, traditional mid-century home. 1690 sqft., Central A/C and heat, 2 car garage, hardwood floors and new paint thru-out. * Huge living room with open dining area, large windows on 2 sides, glass chandelier, and a wall of mirrors. * All bedrooms have large closets, ceiling fans, lots of light. Master bedroom w/ en-suite 3/4 bath. Full size bath in hallway. * Kitchen w/ beautiful custom wood cabinets, center island with storage, and white tile countertops that complement appliances: range, microwave, and dishwasher. Laundry closet with W/D. * From kitchen/family room, wall-to-wall sliding glass doors open onto the grassy backyard with patio space. * Two car garage, at the end of a long driveway, with ample space for storage as well as parking. (Note: Walls for privacy, but backyard is NOT fully enclosed.) * Will consider ONE small pet, with deposit and references, but prefer no dogs. Owner pays gardener; tenant pays all utilities. ** Visit our website for more detai ... (show more) ls and photos! ** Located across from the Wright Middle & Magnet Schools, and close to Kentwood Elementary School. There is easy access to LAX, freeways, and only minutes from the new Playa Vista Whole Foods & movie theatre, as well as a Vons, Trader Joe's, and a variety of local dining & shopping.",6548 W 80th Place,,2,3,3995,"Los Angeles, CA 90045",Westchester,Los Angeles,90045,single_home,33.96590042,-118.4039993,,,,,,,
