City,Population,Violent crime,Murder and nonnegligent manslaughter,Rape (revised definition),Rape (legacy definition),Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
Adelanto,"33,005",212,2,14,,48,148,808,434,254,120,24
Agoura Hills,"20,970",15,0,1,,6,8,310,82,217,11,0
Alameda,"78,613",148,2,7,,61,78,"1,819",228,"1,245",346,18
Albany,"19,723",34,1,6,,16,11,605,95,447,63,0
Alhambra3,"86,175",168,1,13,,74,80,"1,929",305,"1,413",211,6
Aliso Viejo,"50,751",32,0,5,,3,24,363,53,276,34,1
Alturas3,"2,566",35,0,13,,2,20,61,9,48,4,4
American Canyon3,"20,687",58,1,7,,21,29,634,97,493,44,2
Anaheim3,"349,471","1,271",18,129,,439,685,"10,038","1,476","6,893","1,669",28
Anderson,"10,277",88,0,4,,9,75,474,60,358,56,2
Antioch,"110,537",771,7,53,,280,431,"3,912",862,"2,026","1,024",36
Apple Valley,"72,173",234,1,15,,50,168,"1,878",427,"1,187",264,14
Arcadia,"58,694",68,1,6,,31,30,"1,272",316,892,64,3
Arcata3,"17,789",54,2,7,,11,34,670,160,443,67,18
Arroyo Grande3,"18,071",35,0,2,,6,27,418,83,299,36,0
Artesia,"16,988",84,0,2,,30,52,468,99,258,111,3
Arvin,"20,902",149,3,1,,14,131,457,143,201,113,16
Atascadero3,"29,316",90,0,11,,15,64,475,119,323,33,5
Atherton,"7,205",3,0,1,,2,0,86,30,54,2,1
Atwater,"29,219",197,3,8,,26,160,"1,099",167,757,175,10
Auburn,"14,118",45,0,2,,7,36,260,56,178,26,0
Avalon,"3,820",12,0,2,,1,9,56,12,39,5,0
Avenal3,"12,859",25,2,1,,4,18,196,58,118,20,0
Azusa,"49,431",173,2,13,,49,109,"1,212",232,784,196,7
Bakersfield,"373,887","1,810",22,71,,655,"1,062","15,559","3,877","9,288","2,394",339
Baldwin Park3,"77,538",299,1,34,,77,187,"1,442",243,868,331,5
Banning,"31,030",197,8,29,,29,131,608,248,221,139,0
Barstow,"23,700",283,2,12,,70,199,"1,037",447,408,182,15
Bear Valley3,"5,428",5,1,1,,0,3,67,4,63,0,0
Beaumont,"43,626",138,1,17,,21,99,887,157,582,148,4
Bell,"36,395",221,1,17,,70,133,772,194,443,135,0
Bellflower,"78,635",373,1,21,,152,199,"1,825",452,816,557,13
Bell Gardens3,"43,411",137,0,6,,51,80,782,91,392,299,9
Belmont,"27,377",26,1,3,,5,17,447,65,341,41,2
Belvedere,"2,144",0,0,0,,0,0,29,3,25,1,0
Benicia,"28,159",29,0,7,,8,14,512,112,338,62,8
Berkeley,"120,387",530,1,44,,330,155,"5,906","1,090","4,099",717,22
Beverly Hills3,"35,054",99,1,9,,40,49,"1,236",234,930,72,4
Big Bear Lake,"5,209",54,0,5,,5,44,248,75,157,16,6
Biggs3,"1,712",24,0,1,,1,22,28,5,14,9,0
Bishop3,"3,833",38,0,2,,4,32,105,12,85,8,0
Blythe,"18,961",90,1,7,,22,60,847,293,529,25,23
Bradbury,"1,097",1,0,0,,0,1,10,6,3,1,0
Brawley3,"26,023",146,1,8,,14,123,958,260,654,44,18
Brea3,"42,043",80,0,2,,31,47,"1,257",153,"1,035",69,2
Brentwood,"58,398",110,0,17,,43,50,"1,288",158,985,145,7
Brisbane,"4,696",9,0,1,,1,7,92,36,49,7,0
Broadmoor,"4,382",16,0,0,,6,10,80,35,29,16,0
Buellton3,"5,097",4,0,1,,1,2,54,15,39,0,0
Buena Park3,"83,684",237,1,19,,67,150,"2,549",332,"1,831",386,5
Burbank,"105,865",159,1,10,,50,98,"2,656",297,"2,136",223,13
Burlingame,"30,672",45,1,6,,11,27,948,192,626,130,2
Calabasas,"24,505",15,0,5,,9,1,272,57,201,14,2
Calexico3,"40,085",169,0,2,,41,126,"1,567",367,911,289,21
California City,"13,218",121,0,5,,20,96,516,270,218,28,1
Calimesa,"8,553",17,0,0,,5,12,291,71,186,34,0
Calistoga,"5,338",11,1,2,,1,7,81,10,64,7,1
Camarillo,"67,325",114,2,16,,30,66,"1,116",217,840,59,17
Campbell,"41,544",88,1,11,,30,46,"1,393",247,"1,004",142,14
Canyon Lake,"11,112",7,0,0,,1,6,93,18,59,16,0
Capitola,"10,201",28,0,2,,12,14,658,41,585,32,1
Carlsbad,"113,972",172,0,33,,38,101,"2,134",366,"1,627",141,8
Carmel,"3,913",10,0,2,,0,8,114,28,79,7,0
Carpinteria,"13,829",11,0,0,,2,9,206,45,147,14,3
Carson,"93,677",433,7,14,,115,297,"2,146",469,"1,282",395,10
Cathedral City,"53,947",117,3,13,,49,52,"1,152",327,505,320,4
Central Marin,"35,272",40,0,8,,10,22,757,282,417,58,0
Ceres,"47,693",122,0,10,,55,57,"1,606",232,920,454,4
Cerritos,"50,238",91,0,7,,46,38,"1,899",354,"1,324",221,1
Chico3,"89,949",317,2,59,,87,169,"3,634",642,"2,591",401,191
Chino,"86,344",221,0,21,,53,147,"2,138",375,"1,501",262,9
Chino Hills,"77,515",70,0,7,,23,40,"1,073",216,761,96,1
Chowchilla,"18,978",74,0,2,,4,68,329,91,197,41,7
Chula Vista,"265,215",705,6,63,,239,397,"4,619",710,"3,093",816,27
Citrus Heights,"86,853",385,4,36,,113,232,"2,586",375,"1,942",269,6
City of Angels3,"3,738",17,0,1,,1,15,57,9,37,11,0
Claremont3,"36,331",64,1,12,,15,36,985,249,674,62,1
Clayton,"11,879",11,0,0,,2,9,150,26,105,19,1
Clearlake3,"15,044",117,5,6,,27,79,614,223,302,89,6
Cloverdale,"8,839",15,0,2,,5,8,119,22,87,10,0
Clovis,"103,769",239,1,26,,70,142,"3,083",420,"2,454",209,5
Coachella,"44,953",153,3,3,,51,96,"1,238",200,802,236,6
Coalinga,"16,073",105,0,9,,5,91,316,85,204,27,11
Colma3,"1,531",12,0,1,,3,8,275,41,208,26,0
Colton,"54,503",185,3,11,,77,94,"1,715",361,889,465,3
Colusa3,"5,937",6,0,2,,2,2,127,43,71,13,0
Commerce,"13,137",93,2,10,,28,53,"1,247",100,798,349,8
Compton,"99,125",988,13,33,,332,610,"2,410",496,"1,147",767,53
Concord,"128,767",491,4,29,,182,276,"4,618",594,"3,068",956,8
Corcoran3,"22,435",104,0,4,,13,87,398,107,212,79,5
Corning,"7,527",44,0,2,,5,37,254,74,155,25,6
Corona,"163,633",212,5,30,,98,79,"3,727",615,"2,646",466,13
Coronado,"25,138",26,0,5,,1,20,379,55,307,17,3
Costa Mesa3,"113,477",386,1,53,,122,210,"4,723",698,"3,558",467,18
Cotati,"7,469",32,0,10,,1,21,108,32,61,15,1
