City,Population,Violent crime,Murder and nonnegligent manslaughter,Rape (revised definition),Rape (legacy definition),Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
Adelanto,33005,212,2,14,,48,148,832,434,254,120,24
Agoura Hills,20970,15,0,1,,6,8,310,82,217,11,0
Alameda,78613,148,2,7,,61,78,1837,228,1245,346,18
Albany,19723,34,1,6,,16,11,605,95,447,63,0
Alhambra3,86175,168,1,13,,74,80,1935,305,1413,211,6
Aliso Viejo,50751,32,0,5,,3,24,364,53,276,34,1
Alturas3,2566,35,0,13,,2,20,65,9,48,4,4
American Canyon3,20687,58,1,7,,21,29,636,97,493,44,2
Anaheim3,349471,1271,18,129,,439,685,10066,1476,6893,1669,28
Anderson,10277,88,0,4,,9,75,476,60,358,56,2
Antioch,110537,771,7,53,,280,431,3948,862,2026,1024,36
Apple Valley,72173,234,1,15,,50,168,1892,427,1187,264,14
Arcadia,58694,68,1,6,,31,30,1275,316,892,64,3
Arcata,17789,54,2,7,,11,34,688,160,443,67,18
Arroyo Grande,18071,35,0,2,,6,27,418,83,299,36,0
Artesia,16988,84,0,2,,30,52,471,99,258,111,3
Arvin,20902,149,3,1,,14,131,473,143,201,113,16
Atascadero3,29316,90,0,11,,15,64,480,119,323,33,5
Atherton,7205,3,0,1,,2,0,87,30,54,2,1
Atwater Village,29219,197,3,8,,26,160,1109,167,757,175,10
Auburn,14118,45,0,2,,7,36,260,56,178,26,0
Avalon,3820,12,0,2,,1,9,56,12,39,5,0
Avenal3,12859,25,2,1,,4,18,196,58,118,20,0
Azusa,49431,173,2,13,,49,109,1219,232,784,196,7
Bakersfield,373887,1810,22,71,,655,1062,15898,3877,9288,2394,339
Baldwin Park,77538,299,1,34,,77,187,1447,243,868,331,5
Banning,31030,197,8,29,,29,131,608,248,221,139,0
Barstow,23700,283,2,12,,70,199,1052,447,408,182,15
Bear Valley,5428,5,1,1,,0,3,67,4,63,0,0
Beaumont,43626,138,1,17,,21,99,891,157,582,148,4
Bell,36395,221,1,17,,70,133,772,194,443,135,0
Bellflower,78635,373,1,21,,152,199,1838,452,816,557,13
Bell Gardens,43411,137,0,6,,51,80,791,91,392,299,9
Belmont,27377,26,1,3,,5,17,449,65,341,41,2
Belvedere,2144,0,0,0,,0,0,29,3,25,1,0
Benicia,28159,29,0,7,,8,14,520,112,338,62,8
Berkeley,120387,530,1,44,,330,155,5928,1090,4099,717,22
Beverly Hills,35054,99,1,9,,40,49,1240,234,930,72,4
Big Bear Lake,5209,54,0,5,,5,44,254,75,157,16,6
Biggs3,1712,24,0,1,,1,22,28,5,14,9,0
Bishop,3833,38,0,2,,4,32,105,12,85,8,0
Blythe,18961,90,1,7,,22,60,870,293,529,25,23
Bradbury,1097,1,0,0,,0,1,10,6,3,1,0
Brawley3,26023,146,1,8,,14,123,976,260,654,44,18
Brea3,42043,80,0,2,,31,47,1259,153,1035,69,2
Brentwood,58398,110,0,17,,43,50,1295,158,985,145,7
Brisbane,4696,9,0,1,,1,7,92,36,49,7,0
Broadmoor,4382,16,0,0,,6,10,80,35,29,16,0
Buellton3,5097,4,0,1,,1,2,54,15,39,0,0
Buena Park,83684,237,1,19,,67,150,2554,332,1831,386,5
Burbank,105865,159,1,10,,50,98,2669,297,2136,223,13
Burlingame,30672,45,1,6,,11,27,950,192,626,130,2
Calabasas,24505,15,0,5,,9,1,274,57,201,14,2
Calexico3,40085,169,0,2,,41,126,1588,367,911,289,21
California City,13218,121,0,5,,20,96,517,270,218,28,1
Calimesa,8553,17,0,0,,5,12,291,71,186,34,0
Calistoga,5338,11,1,2,,1,7,82,10,64,7,1
Camarillo,67325,114,2,16,,30,66,1133,217,840,59,17
Campbell,41544,88,1,11,,30,46,1407,247,1004,142,14
Canyon Lake,11112,7,0,0,,1,6,93,18,59,16,0
Capitola,10201,28,0,2,,12,14,659,41,585,32,1
Carlsbad,113972,172,0,33,,38,101,2142,366,1627,141,8
Carmel,3913,10,0,2,,0,8,114,28,79,7,0
Carpinteria,13829,11,0,0,,2,9,209,45,147,14,3
Carson,93677,433,7,14,,115,297,2156,469,1282,395,10
Cathedral City,53947,117,3,13,,49,52,1156,327,505,320,4
Central Marin,35272,40,0,8,,10,22,757,282,417,58,0
Ceres,47693,122,0,10,,55,57,1610,232,920,454,4
Cerritos,50238,91,0,7,,46,38,1900,354,1324,221,1
Chico3,89949,317,2,59,,87,169,3825,642,2591,401,191
Chino,86344,221,0,21,,53,147,2147,375,1501,262,9
Chino Hills,77515,70,0,7,,23,40,1074,216,761,96,1
Chowchilla,18978,74,0,2,,4,68,336,91,197,41,7
Chula Vista,265215,705,6,63,,239,397,4646,710,3093,816,27
Citrus Heights,86853,385,4,36,,113,232,2592,375,1942,269,6
City of Angels3,3738,17,0,1,,1,15,57,9,37,11,0
Claremont3,36331,64,1,12,,15,36,986,249,674,62,1
Clayton,11879,11,0,0,,2,9,151,26,105,19,1
Clearlake3,15044,117,5,6,,27,79,620,223,302,89,6
