,AirBnb Neighborhood,AirBnb Price,AirBnb Type,AirBnb Lat,AirBnb Long,AirBnb Source,neighborhood name,Regular Price,Regular Type,Regular Lat,Regular Long,Regular Source
0,"{'id': 19810, 'name': 'Pacific Palisades'}",14976,House,34.04000092,-118.529808,Airbnb,Pacific Palisades,8500,Other,34.04130936,-118.5628662,Reguar
1,"{'id': 19810, 'name': 'Pacific Palisades'}",14976,House,34.04000092,-118.529808,Airbnb,Pacific Palisades,4595,townhouse,34.07870102,-118.564003,Reguar
2,"{'id': 19810, 'name': 'Pacific Palisades'}",14976,House,34.04000092,-118.529808,Airbnb,Pacific Palisades,4450,Other,34.0750885,-118.5626678,Reguar
3,"{'id': 19810, 'name': 'Pacific Palisades'}",14976,House,34.04000092,-118.529808,Airbnb,Pacific Palisades,8500,single_home,34.04449844,-118.564003,Reguar
4,"{'id': 19810, 'name': 'Pacific Palisades'}",14976,House,34.04000092,-118.529808,Airbnb,Pacific Palisades,19000,Other,34.04270172,-118.5638428,Reguar
5,"{'id': 19810, 'name': 'Pacific Palisades'}",14976,House,34.04000092,-118.529808,Airbnb,Pacific Palisades,10500,apartment,34.04027939,-118.5543823,Reguar
6,"{'id': 19810, 'name': 'Pacific Palisades'}",14976,House,34.04000092,-118.529808,Airbnb,Pacific Palisades,3975,apartment,34.04888916,-118.5282593,Reguar
7,"{'id': 19810, 'name': 'Pacific Palisades'}",14976,House,34.04000092,-118.529808,Airbnb,Pacific Palisades,12000,Other,34.0424881,-118.5513077,Reguar
8,"{'id': 19810, 'name': 'Pacific Palisades'}",14976,House,34.04000092,-118.529808,Airbnb,Pacific Palisades,2750,Other,34.07992935,-118.5636673,Reguar
9,"{'id': 19810, 'name': 'Pacific Palisades'}",14976,House,34.04000092,-118.529808,Airbnb,Pacific Palisades,23950,single_home,34.04101181,-118.5624771,Reguar
10,"{'id': 19810, 'name': 'Pacific Palisades'}",14976,House,34.04000092,-118.529808,Airbnb,Pacific Palisades,10500,Other,34.04759979,-118.5362625,Reguar
11,"{'id': 19810, 'name': 'Pacific Palisades'}",14976,House,34.04000092,-118.529808,Airbnb,Pacific Palisades,12500,single_home,34.04143906,-118.5578918,Reguar
12,"{'id': 19810, 'name': 'Pacific Palisades'}",14976,House,34.04000092,-118.529808,Airbnb,Pacific Palisades,19750,Other,34.05307007,-118.5215683,Reguar
13,"{'id': 19810, 'name': 'Pacific Palisades'}",14976,House,34.04000092,-118.529808,Airbnb,Pacific Palisades,15000,Other,34.04333878,-118.5241318,Reguar
