id,neighborhood name,Regular Price,Regular Type,Regular Lat,Regular Long,Regular Source
5069711,Pacific Palisades,8500,Other,34.04130936,-118.5628662,Reguar
5289676,Pacific Palisades,4595,townhouse,34.07870102,-118.564003,Reguar
5341263,Pacific Palisades,4450,Other,34.0750885,-118.5626678,Reguar
5383452,Pacific Palisades,8500,single_home,34.04449844,-118.564003,Reguar
5491769,Pacific Palisades,19000,Other,34.04270172,-118.5638428,Reguar
5574958,Pacific Palisades,10500,apartment,34.04027939,-118.5543823,Reguar
5667266,Pacific Palisades,3975,apartment,34.04888916,-118.5282593,Reguar
5776418,Pacific Palisades,12000,Other,34.0424881,-118.5513077,Reguar
5779647,Pacific Palisades,2750,Other,34.07992935,-118.5636673,Reguar
5804754,Pacific Palisades,23950,single_home,34.04101181,-118.5624771,Reguar
5831379,Pacific Palisades,10500,Other,34.04759979,-118.5362625,Reguar
5845651,Pacific Palisades,12500,single_home,34.04143906,-118.5578918,Reguar
5861109,Pacific Palisades,19750,Other,34.05307007,-118.5215683,Reguar
5862558,Pacific Palisades,15000,Other,34.04333878,-118.5241318,Reguar
5893699,Pacific Palisades,20000,Other,34.04359818,-118.5230026,Reguar
5895071,Pacific Palisades,9900,Other,34.06032944,-118.5447464,Reguar
5895584,Pacific Palisades,5995,apartment,34.04809952,-118.5289993,Reguar
5896232,Pacific Palisades,14000,single_home,34.03956985,-118.524292,Reguar
5907022,Pacific Palisades,8100,single_home,34.04761887,-118.5388565,Reguar
5908360,Pacific Palisades,29800,Other,34.04230118,-118.5101318,Reguar
2380503,Venice,18500,Other,33.98796082,-118.4745789,Reguar
2380504,Venice,29500,Other,33.98796082,-118.4745789,Reguar
2667138,Venice,14100,Other,33.98796082,-118.4745789,Reguar
3062294,Venice,4000,apartment,33.99824905,-118.4484406,Reguar
3577624,Venice,6800,Other,33.98052979,-118.4637299,Reguar
5067757,Venice,7000,Other,33.98424149,-118.4678192,Reguar
5068014,Venice,3109,apartment,34.0033989,-118.4599991,Reguar
5068762,Venice,5495,apartment,33.99824905,-118.4484406,Reguar
5115132,Venice,2995,apartment,33.98460007,-118.4449997,Reguar
5115135,Venice,3200,apartment,33.98460007,-118.4449997,Reguar
5115143,Venice,3400,apartment,33.98460007,-118.4449997,Reguar
5115152,Venice,3650,apartment,33.98460007,-118.4449997,Reguar
5115156,Venice,3750,apartment,33.98460007,-118.4449997,Reguar
5115172,Venice,3995,apartment,33.98460007,-118.4449997,Reguar
5115211,Venice,4900,apartment,33.98460007,-118.4449997,Reguar
5115220,Venice,5100,apartment,33.98460007,-118.4449997,Reguar
5115222,Venice,5295,apartment,33.98460007,-118.4449997,Reguar
5115245,Venice,6000,apartment,33.98460007,-118.4440002,Reguar
5115253,Venice,6500,apartment,33.98460007,-118.4449997,Reguar
5320539,Venice,4800,Other,34.00207901,-118.4658203,Reguar
3738329,Hollywood,5500,apartment,34.10131836,-118.3254929,Reguar
3738534,Hollywood,4700,Other,34.10115051,-118.3252487,Reguar
5083099,Hollywood,1425,apartment,34.09690094,-118.3379974,Reguar
5083104,Hollywood,1495,apartment,34.09280014,-118.3280029,Reguar
5083172,Hollywood,2750,single_home,34.09429932,-118.3399963,Reguar
5083184,Hollywood,3000,apartment,34.10200119,-118.336998,Reguar
5083248,Hollywood,3975,apartment,34.1006012,-118.3259964,Reguar
5113515,Hollywood,1019,apartment,34.0868988,-118.3119965,Reguar
5113516,Hollywood,1019,apartment,34.0868988,-118.3119965,Reguar
